TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
65282454,65282454.01,2.381,2458789.593,"new CTOI, Montalto (2022)"
65557265,65557265.01,1.683,2458785.339,"new CTOI likely member of NGC 7789, PATHOS-49 in Nardiello et al. (2021)"
65879889,65879889.01,2.392,2458492.141,DTARPS 087 in Melton+  arXiv:2302.06724
66230012,66230012.01,2.894,2458491.192,"new CTOI, Montalto (2022)"
66323870,66323870.01,3.17,2458818.67,"Camera 2, CCD 4, Column 88, Row1265, Sector 19, possible binary system"
66439165,66439165.01,0.392,2458354.276,manual ELEANOR search Tom Kaye
66439168,66439168.01,9.425,2458361.507,manual ELEANOR search Tom Kaye
66532202,66532202.01,1.831,2458467.868,"new CTOI, Montalto (2022)"
67047661,67047661.01,nan,2458755.367,single transit event from the TSTPC working group
67424670,67424670.01,1.133,2458790.941,"new CTOI likely member of NGC 752, PATHOS-50 in Nardiello et al. (2021)"
67512645,67512645.01,3.371,2459639.259,Nguyen et al. (2022)
67599025,67599025.01,nan,2458404.02,"WINE single transit, another transit in S30"
67600790,67600790.01,0.961,2458630.476,"Hot superNept. PMS M dwarf (Zari+18). Prot  0.8d, RotAmp 5%."
67643229,67643229.01,4.487,2458380.834,"new CTOI, Montalto (2022)"
