TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
149601126,149601126.02,2525.02,49.23,,13.4006,N,N,,,-,-,PHT candidate. Additional transit in the FFIs.,,eisner,
150030205,150030205.03,286,10.868,,9.1059,N,N,,,-,-,No TEV report for 10.9 day signal; TOI; no ephemeris match; hard to see signal at 10.9 d,,spencer,
151628217,151628217.01,,1.111,,11.0857,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
153937417,153937417.01,4447.01,4.16,,13.5868,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
155873992,155873992.01,3814.01,4.951,,12.4988,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
155993822,155993822.01,2687.01,12.284,,12.4052,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
156947629,156947629.01,,5.253,,12.3556,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
156999527,156999527.01,4788.01,4.393,,12.4832,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
158167408,158167408.01,4444.01,5.231,,13.5728,N,N,,,-,-,No report on TEV,Kepler candidate planet KOI-3689.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
158209498,158209498.01,,,,9.4343,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
